Date,Category,Product,Price,Average,Difference,Trend
"Wednesday, Aug 19, 2026","Long grain white rice - high quality","Thailand 100% B grade","460-464",462,+2.00,"↑"
"Wednesday, Aug 19, 2026","Long grain white rice - high quality","Thailand 5% broken","450-454",452,+2.00,"↑"
"Wednesday, Aug 19, 2026","Long grain white rice - high quality","Vietnam 5% broken","444-448",446,-1.00,"↓"
"Wednesday, Aug 19, 2026","Long grain white rice - high quality","India 5% broken","362-366",364,+1.00,"↑"
"Wednesday, Aug 19, 2026","Long grain white rice - high quality","Pakistan 5% broken","401-405",403,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain white rice - high quality","Myanmar 5% broken","472-476",474,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain white rice - high quality","U.S. 4% broken","571-575",573,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain white rice - high quality","Brazil 5% broken","515-519",517,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain white rice - high quality","Uruguay 5% broken","520-524",522,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain white rice - high quality","Argentina 5% broken","443-447",445,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain white rice - low quality","Thailand 25% broken","417-421",419,+1.00,"↑"
"Wednesday, Aug 19, 2026","Long grain white rice - low quality","Vietnam 25% broken","421-425",423,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain white rice - low quality","Pakistan 25% broken","376-380",378,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain white rice - low quality","India 25% broken","348-352",350,+1.00,"↑"
"Wednesday, Aug 19, 2026","Long grain white rice - low quality","U.S. 15% broken (sacked)","573-577",575,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain parboiled rice","Thai Parboiled 100% stxd","459-463",461,+1.00,"↑"
"Wednesday, Aug 19, 2026","Long grain parboiled rice","Pakistan parboiled 5% broken stxd","413-417",415,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain parboiled rice","India parboiled 5% broken stxd","367-371",369,+1.00,"↑"
"Wednesday, Aug 19, 2026","Long grain parboiled rice","U.S. parboiled 4% broken","670-674",672,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain parboiled rice","Brazil parboiled 5% broken","523-527",525,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain parboiled rice","Uruguay parboiled 5% broken","558-562",560,0.00,"↔"
"Wednesday, Aug 19, 2026","Long grain fragrant rice","Thailand Hommali 92%","1139-1143",1141,-3.00,"↓"
"Wednesday, Aug 19, 2026","Long grain fragrant rice","Vietnam Jasmine","539-543",541,0.00,"↔"
"Wednesday, Aug 19, 2026","Brokens","Thailand A1 Super","364-368",366,-1.00,"↓"
"Wednesday, Aug 19, 2026","Brokens","Vietnam 100% broken","377-381",379,0.00,"↔"
"Wednesday, Aug 19, 2026","Brokens","Pakistan 100% broken stxd","312-316",314,0.00,"↔"
"Wednesday, Aug 19, 2026","Brokens","Indian 100% broken stxd","301-305",303,+2.00,"↑"
"Wednesday, Aug 19, 2026","Brokens","U.S. pet food","262-266",264,0.00,"↔"
"Wednesday, Aug 19, 2026","Medium grain milled","U.S. Calrose 4% broken","895-899",897,0.00,"↔"
"Wednesday, Aug 19, 2026","Medium grain milled","Italy risotto","NA",,N/A,"↔"
